epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.93572,1.09323,0.47971,1.04011,0.92014,0.95951,0.96961,0.54428,1.45362,0.52971,1.22802,8e-05,8e-05,8e-05
2,14.6135,1.14517,0.48509,1.05887,0.91627,0.95997,0.96113,0.53808,1.48959,0.54904,1.24085,0.000178515,0.000178515,0.000178515
3,23.8185,1.15889,0.50939,1.07909,0.92095,0.95912,0.95428,0.52746,1.51125,0.55965,1.26001,0.00027538,0.00027538,0.00027538
4,29.4438,1.12783,0.49696,1.01578,0.91437,0.95277,0.94915,0.5124,1.52587,0.56438,1.25283,0.000370595,0.000370595,0.000370595
5,34.2214,1.13235,0.4939,1.06796,0.91723,0.9571,0.94881,0.51129,1.54059,0.56677,1.24745,0.00046416,0.00046416,0.00046416
6,39.5385,1.19119,0.50648,1.1366,0.92066,0.95816,0.95559,0.51396,1.52681,0.56795,1.24422,0.000556075,0.000556075,0.000556075
7,44.2369,1.16183,0.51236,1.05821,0.91274,0.95547,0.95309,0.5176,1.50215,0.57685,1.24573,0.00064634,0.00064634,0.00064634
8,48.9385,1.16504,0.51281,1.0719,0.91269,0.95924,0.95301,0.5186,1.499,0.57673,1.24547,0.000734955,0.000734955,0.000734955
9,54.2166,1.12596,0.51496,1.03794,0.91143,0.95412,0.94712,0.49801,1.51485,0.61582,1.27126,0.00082192,0.00082192,0.00082192
10,59.3528,1.11475,0.50704,1.03959,0.92394,0.95007,0.95302,0.51713,1.51909,0.60287,1.24974,0.000907235,0.000907235,0.000907235
11,64.1566,1.1568,0.52632,1.02198,0.92712,0.94417,0.95498,0.51067,1.51455,0.64865,1.24367,0.0009909,0.0009909,0.0009909
12,69.3711,1.30724,0.56447,1.11345,0.9266,0.95402,0.95854,0.51622,1.4887,0.63776,1.2305,0.00107292,0.00107292,0.00107292
13,74.5571,1.18771,0.52154,1.03607,0.92419,0.94332,0.9558,0.5217,1.4926,0.60679,1.25672,0.00115328,0.00115328,0.00115328
14,79.2015,1.19966,0.56099,1.10668,0.92419,0.94332,0.9558,0.5217,1.4926,0.60679,1.25672,0.001232,0.001232,0.001232
15,84.289,1.13674,0.50647,1.06323,0.92297,0.94467,0.96074,0.52061,1.49076,0.63611,1.25524,0.00130906,0.00130906,0.00130906
16,89.5455,1.17392,0.50619,1.06115,0.90836,0.93637,0.94887,0.51136,1.48877,0.62463,1.24017,0.00138448,0.00138448,0.00138448
17,94.3005,1.22534,0.54271,1.09174,0.91376,0.94467,0.96071,0.52042,1.47102,0.58402,1.22362,0.00145824,0.00145824,0.00145824
18,99.3322,1.20012,0.51673,1.07788,0.91376,0.94467,0.96071,0.52042,1.47102,0.58402,1.22362,0.00153035,0.00153035,0.00153035
19,104.372,1.15068,0.54891,1.02803,0.9103,0.93522,0.94727,0.53951,1.4648,0.60148,1.23033,0.00160082,0.00160082,0.00160082
20,109.117,1.26365,0.55599,1.0848,0.89571,0.92728,0.95142,0.5233,1.51511,0.60668,1.26861,0.00166964,0.00166964,0.00166964
21,114.145,1.20563,0.51149,1.07458,0.89571,0.92728,0.95142,0.5233,1.51511,0.60668,1.26861,0.00167,0.00167,0.00167
22,119.309,1.27192,0.53628,1.09773,0.90125,0.94062,0.96018,0.52666,1.49754,0.598,1.24347,0.0016535,0.0016535,0.0016535
23,124.096,1.15226,0.50496,1.04125,0.91905,0.94737,0.95978,0.53177,1.48844,0.59425,1.2307,0.001637,0.001637,0.001637
24,129.14,1.25639,0.53347,1.1005,0.91905,0.94737,0.95978,0.53177,1.48844,0.59425,1.2307,0.0016205,0.0016205,0.0016205
25,134.321,1.24702,0.54659,1.0576,0.90382,0.93252,0.94426,0.51976,1.49832,0.59648,1.24732,0.001604,0.001604,0.001604
26,139.075,1.15928,0.52942,1.07611,0.90382,0.93252,0.94426,0.51976,1.49832,0.59648,1.24732,0.0015875,0.0015875,0.0015875
27,146.178,1.1912,0.51096,1.07656,0.90562,0.94525,0.95357,0.5072,1.54887,0.58904,1.30315,0.001571,0.001571,0.001571
28,151.327,1.25413,0.52582,1.1139,0.92041,0.92443,0.95571,0.50868,1.52623,0.59807,1.29676,0.0015545,0.0015545,0.0015545
29,156.101,1.24051,0.6446,1.09275,0.92041,0.92443,0.95571,0.50868,1.52623,0.59807,1.29676,0.001538,0.001538,0.001538
30,161.343,1.20639,0.51352,1.09634,0.90454,0.90823,0.938,0.50175,1.53449,0.60548,1.30635,0.0015215,0.0015215,0.0015215
31,166.526,1.1792,0.52602,1.04468,0.88442,0.92935,0.94416,0.50953,1.54544,0.59312,1.30935,0.001505,0.001505,0.001505
