epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.14362,1.03303,0.43616,1.00631,0.9189,0.96332,0.96798,0.54338,1.46505,0.53432,1.23349,8e-05,8e-05,8e-05
2,13.5666,1.03662,0.43752,1.00929,0.91843,0.95816,0.9645,0.52617,1.52768,0.55349,1.28515,0.000178515,0.000178515,0.000178515
3,18.4092,1.05447,0.46122,1.02237,0.91741,0.94443,0.95252,0.51953,1.54251,0.55845,1.29729,0.00027538,0.00027538,0.00027538
4,23.4494,1.05079,0.4595,0.98599,0.92303,0.95487,0.95447,0.52038,1.48637,0.5544,1.2411,0.000370595,0.000370595,0.000370595
5,29.0701,1.06135,0.4553,1.03146,0.91855,0.95412,0.95572,0.5285,1.49713,0.5551,1.24476,0.00046416,0.00046416,0.00046416
6,33.6735,1.10414,0.47444,1.09109,0.91755,0.96356,0.95462,0.52798,1.49204,0.55731,1.24042,0.000556075,0.000556075,0.000556075
7,38.333,1.09639,0.47999,1.02798,0.9265,0.95265,0.95732,0.52154,1.49607,0.56636,1.25507,0.00064634,0.00064634,0.00064634
8,43.7704,1.03093,0.46441,1.01065,0.92374,0.94812,0.95402,0.53035,1.48564,0.55659,1.25204,0.000734955,0.000734955,0.000734955
9,48.7169,1.06776,0.466,1.01252,0.92029,0.9505,0.95958,0.53782,1.47191,0.54879,1.23442,0.00082192,0.00082192,0.00082192
10,53.5504,1.04492,0.45313,1.00926,0.92383,0.96573,0.96618,0.50674,1.51485,0.60036,1.26687,0.000907235,0.000907235,0.000907235
11,58.9318,1.08511,0.48807,0.99645,0.92753,0.96722,0.96684,0.51071,1.51421,0.59634,1.26525,0.0009909,0.0009909,0.0009909
12,64.3146,1.09805,0.4926,1.02952,0.92885,0.95682,0.96283,0.51641,1.48234,0.58703,1.24503,0.00107292,0.00107292,0.00107292
13,69.1063,1.12587,0.49422,1.00876,0.91915,0.95412,0.95931,0.52404,1.49188,0.57776,1.26575,0.00115328,0.00115328,0.00115328
14,74.1978,1.12674,0.5189,1.08074,0.91915,0.95412,0.95931,0.52404,1.49188,0.57776,1.26575,0.001232,0.001232,0.001232
15,79.2769,1.11156,0.49191,1.05033,0.92655,0.93625,0.95002,0.49775,1.52596,0.6392,1.27024,0.00130906,0.00130906,0.00130906
